rack_id,inlet_temp,outlet_temp,airflow,fan_speed,load_kw,delta_temp,cooling_efficiency,airflow_per_kw,fan_speed_per_kw,thermal_risk_flag
R39,19.604387146892087,30.33159919948806,842.4592979738029,0.5917173949330818,10.168886881742097,10.727212052595974,1.0549052396144096,82.8467567562789,0.05818900355706494,0
R23,20.83824373195297,22.93362171619822,1195.1850566229325,0.9330880728874676,3.5227525095137957,2.09537798424525,0.5948127149399008,339.27590808469535,0.2648747166789332,0
R21,22.044443653223965,32.375358395644774,649.2166374514453,0.8058265802441404,8.557333586649449,10.33091474242081,1.2072586206687532,75.86669736286868,0.09416795221134472,0
R42,22.444157803129485,24.87128750173407,973.2756946575586,0.9868777594207296,3.419990968922539,2.4271296986045847,0.7096889204269585,284.5842879416103,0.2885615103631819,0
R44,19.698012845155397,29.041152663452426,666.5531531228087,0.7962072844310213,7.628109945722504,9.343139818297029,1.2248302508455893,87.38116753240837,0.10437805565158352,0
R39,21.719563005285984,23.75774724891535,1214.4884485364205,0.9711008778424264,3.119384650438799,2.0381842436293667,0.6533930476777394,389.33590583821723,0.31131168056040254,0
R02,20.932702392315026,32.26487541983511,646.3624647931555,0.7200762468698007,9.158097238609413,11.332173027520081,1.2373938310837138,70.57824872924157,0.07862727683585272,0
R14,19.244121392355037,25.3507004440946,830.1006425552308,0.5911180438940311,6.519545468159167,6.106579051739562,0.9366571767255104,127.32492573437251,0.0906685974936435,0
R04,23.47693315999082,26.23042289669778,1398.5097284529402,0.9847923138822792,4.663690099729744,2.7534897367069604,0.5904100996904837,299.87192513798936,0.21116161083244936,0
R08,22.946386498920045,28.730248384340296,1193.0470417738757,0.7604171300129119,8.133995769648594,5.783861885420251,0.7110726448865765,146.6741655098522,0.09348629524130715,0
R47,19.738895390636863,31.84197428973339,695.1648629179903,0.6783766633467947,10.458637582367365,12.103078899096527,1.1572328425933405,66.4680133949757,0.06486281391856402,0
R15,18.87386641082697,24.684160049727637,578.2633460858848,0.5078182033705969,4.487402451567022,5.810293638900667,1.2948011018872811,128.86371399203395,0.1131652908005308,0
R11,23.396880518421924,26.61044595818276,1225.4410021182173,0.855670976374325,4.789581636799246,3.213565439760835,0.6709490898057596,255.85554126542624,0.17865255073638286,0
R41,21.50850462514592,29.502914373400323,1072.615865503643,0.9250192888948996,11.234637079894028,7.994409748254402,0.7115859365463196,95.47401112077226,0.08233637475930151,0
R24,17.91115395636017,27.31300785431321,811.3847876511664,0.7956488938538635,8.993301209557469,9.401853897953039,1.0454285560858774,90.22101770469801,0.08847128271521719,0
R47,21.928347921780095,29.563307866942964,1099.6294184907435,0.8803925243084487,9.419203085006956,7.634959945162869,0.8105738751206925,116.74336019371765,0.09346783548066992,0
R09,22.300978156221188,33.99696927678802,639.5782831928382,0.5554454104059157,9.395966007172088,11.695991120566834,1.2447885732706037,68.06945477502133,0.05911530650301794,0
R49,20.93116709265299,24.23493536559916,1151.0795496053204,0.7542853455823514,5.82920382968694,3.3037682729461686,0.5667614942748707,197.46771312801042,0.12939766177688464,0
R43,23.409962622665443,26.69859511067987,1242.5445921636417,0.9714267852789904,4.827551022612925,3.2886324880144286,0.6812216945217179,257.3861128227105,0.20122558637468385,0
R42,20.940479592465923,27.918464286730725,1222.7403032695331,0.8167018782552118,10.273083416079754,6.977984694264801,0.6792492975714224,119.0236907212942,0.07949919660701715,0
